R&D Spend,Administration,Marketing Spend,State,Profit
153441.51,101145.55,407934.54,Florida,191050.39
142107.34,91391.77,366168.42,Florida,166187.94
130298.13,145530.06,323876.68,Florida,155752.6
101913.08,110594.11,229160.95,Florida,146121.95
93863.75,127320.38,249839.44,Florida,141585.52
119943.24,156547.42,256512.92,Florida,132602.65
91749.16,114175.79,294919.57,Florida,124266.9
73994.56,122782.75,303319.26,Florida,110352.25
67532.53,105751.03,304768.73,Florida,108733.99
75328.87,144135.98,134050.07,Florida,105733.54
66051.52,182645.56,118148.2,Florida,103282.38
61994.48,115641.28,91131.24,Florida,99937.59
55493.95,103057.49,214634.81,Florida,96778.92
28663.76,127056.21,201126.82,Florida,90708.19
27892.92,84710.77,164470.71,Florida,77798.83
1315.46,115816.21,297114.46,Florida,49490.75
